lam,seed,pr
0,0,3.77103020597421
0,1,3.334800790920657
0,2,2.4875863661812474
2,0,4.120387653201092
2,1,4.210326216077086
2,2,3.2595908731135905
4,0,4.338088976364405
4,1,3.0676279601616043
4,2,3.7562634807681907
6,0,3.679394326237614
6,1,3.607775925792953
6,2,4.272287915028494
8,0,4.029589507608493
8,1,4.0791125759655245
8,2,4.000871032927175
10,0,5.045877524331614
10,1,4.202816597041889
10,2,3.9717360063436202
